,My,Thy,Ace,Stick,Hit,Greedy Choice,Greedy Value
0,19,1,True,-0.08860759493670886,-0.1834319526627219,0,-0.08860759493670886
1,19,1,False,-0.0932652289065456,-0.804953560371517,0,-0.0932652289065456
2,15,1,False,-0.8083067092651757,-0.6260271675331209,1,-0.6260271675331209
3,21,9,False,0.9485511531638084,-1.0,0,0.9485511531638084
4,15,9,False,-0.5593679458239278,-0.5068493150684932,1,-0.5068493150684932
5,16,9,True,-0.3469387755102041,-0.2016348773841962,1,-0.2016348773841962
6,14,8,False,-0.5105339105339105,-0.40296240030383595,1,-0.40296240030383595
7,19,5,False,0.4568764568764569,-0.7487437185929648,0,0.4568764568764569
8,15,10,False,-0.5805946791862285,-0.5443240208990026,1,-0.5443240208990026
9,14,2,False,-0.29180327868852457,-0.42032967032967034,0,-0.29180327868852457
10,9,2,False,-inf,0.05087281795511222,1,0.05087281795511222
11,19,10,False,-0.015943082675529706,-0.800561797752809,0,-0.015943082675529706
12,9,10,False,-inf,-0.2425003137944019,1,-0.2425003137944019
13,20,6,False,0.7059770937723694,-0.8581081081081081,0,0.7059770937723694
14,15,8,False,-0.5475578406169666,-0.4421168687982359,1,-0.4421168687982359
15,8,8,False,-inf,-0.09438775510204081,1,-0.09438775510204081
16,14,10,False,-0.5657229524772498,-0.5148369405543042,1,-0.5148369405543042
17,20,7,False,0.7731604023292747,-0.819371727748691,0,0.7731604023292747
18,21,10,True,0.9174353822266874,-0.0034129692832764505,0,0.9174353822266874
19,14,6,False,-0.14829208427081203,-0.31921824104234525,0,-0.14829208427081203
20,17,10,False,-0.4613906359189378,-0.6358428805237316,0,-0.4613906359189378
21,16,7,False,-0.5013123359580053,-0.4192840256670044,1,-0.4192840256670044
22,13,7,False,-0.5075075075075075,-0.31451612903225806,1,-0.31451612903225806
23,13,7,True,-0.46153846153846156,0.12157534246575342,1,0.12157534246575342
24,12,7,True,-0.4666666666666667,0.2564102564102564,1,0.2564102564102564
25,14,7,True,-0.4444444444444444,0.017094017094017096,1,0.017094017094017096
26,13,10,False,-0.5698178664353859,-0.47772188286022277,1,-0.47772188286022277
27,12,10,False,-0.5421383647798742,-0.43597863591246394,1,-0.43597863591246394
28,21,1,False,0.6577922077922078,-1.0,0,0.6577922077922078
29,13,1,False,-0.7887323943661971,-0.5681655960028551,1,-0.5681655960028551
30,18,1,True,-0.5238095238095238,-0.3620885357548241,1,-0.3620885357548241
31,20,4,False,0.6645036829182743,-0.9262820512820513,0,0.6645036829182743
32,10,4,False,-inf,0.21353949017969076,1,0.21353949017969076
33,12,9,False,-0.5533596837944664,-0.38089390962671904,1,-0.38089390962671904
34,19,6,False,0.5152625152625152,-0.7515923566878981,0,0.5152625152625152
35,15,5,False,-0.16828412141234772,-0.3715415019762846,0,-0.16828412141234772
36,18,3,False,0.16241241241241242,-0.6278026905829597,0,0.16241241241241242
37,18,4,False,0.18705603788476716,-0.6451612903225806,0,0.18705603788476716
38,15,4,False,-0.20282413350449294,-0.375886524822695,0,-0.20282413350449294
39,19,9,False,0.2927360774818402,-0.7727272727272727,0,0.2927360774818402
40,18,10,False,-0.23949032738095238,-0.7022603273577552,0,-0.23949032738095238
41,13,5,False,-0.17301721704769968,-0.3065326633165829,0,-0.17301721704769968
42,12,5,False,-0.17997184797908708,-0.21796759941089838,0,-0.17997184797908708
43,13,2,False,-0.3374233128834356,-0.3289265982636148,1,-0.3289265982636148
44,18,5,False,0.21222929936305732,-0.5956284153005464,0,0.21222929936305732
45,16,5,False,-0.1571395510298542,-0.4753246753246753,0,-0.1571395510298542
46,15,2,False,-0.27816177844199513,-0.5209003215434084,0,-0.27816177844199513
47,14,5,False,-0.19029850746268656,-0.3487544483985765,0,-0.19029850746268656
48,9,5,False,-inf,0.10297829379101464,1,0.10297829379101464
49,20,10,False,0.4348444444444444,-0.854936198791135,0,0.4348444444444444
50,16,10,False,-0.579324462640737,-0.5912117177097204,0,-0.579324462640737
51,13,4,False,-0.2012148823082764,-0.3142857142857143,0,-0.2012148823082764
52,12,6,False,-0.18009669621273167,-0.25910064239828695,0,-0.18009669621273167
53,14,9,False,-0.5419354838709678,-0.5378590078328982,1,-0.5378590078328982
54,14,1,False,-0.8012820512820513,-0.5933253053500774,1,-0.5933253053500774
55,17,3,True,-0.24358974358974358,0.016817593790426907,1,0.016817593790426907
56,17,4,False,-0.05866536299193351,-0.5652173913043478,0,-0.05866536299193351
57,11,10,False,-inf,0.02186227650911666,1,0.02186227650911666
58,19,10,True,0.012556504269211451,-0.26108374384236455,0,0.012556504269211451
59,15,7,False,-0.4670487106017192,-0.392505612156795,1,-0.392505612156795
60,20,8,False,0.800718629076838,-0.8588516746411483,0,0.800718629076838
61,17,1,False,-0.6354364736387208,-0.6437308868501529,0,-0.6354364736387208
62,19,6,True,0.49169435215946844,0.11764705882352941,0,0.49169435215946844
63,11,6,False,-inf,0.3025387870239774,1,0.3025387870239774
64,8,6,False,-inf,0.12555768005098789,1,0.12555768005098789
65,13,6,False,-0.16803760282021152,-0.23529411764705882,0,-0.16803760282021152
66,9,6,False,-inf,0.151545869234668,1,0.151545869234668
67,10,1,False,-inf,-0.24371134020618557,1,-0.24371134020618557
68,15,3,False,-0.24969499796665312,-0.33047210300429186,0,-0.24969499796665312
69,18,6,False,0.29607083563918096,-0.6041666666666666,0,0.29607083563918096
