,My,Thy,Ace,Stick,Hit,Greedy Choice,Greedy Value
0,20,8,False,0.8034245651880815,-0.8877805486284289,0,0.8034245651880815
1,18,10,False,-0.25457379980741895,-0.6828231292517006,0,-0.25457379980741895
2,17,9,False,-0.4474653569549202,-0.5019011406844106,0,-0.4474653569549202
3,16,9,False,-0.5034907597535935,-0.5126903553299492,0,-0.5034907597535935
4,12,10,False,-0.5759768451519537,-0.4454609101516919,1,-0.4454609101516919
5,20,10,False,0.43106457242582896,-0.8661005878510777,0,0.43106457242582896
6,12,9,False,-0.5698924731182796,-0.39246613471887176,1,-0.39246613471887176
7,21,9,True,0.9875141884222475,0.1111111111111111,0,0.9875141884222475
8,17,10,True,-0.592391304347826,-0.2752487187217365,1,-0.2752487187217365
9,19,7,False,0.6142045454545455,-0.6936170212765957,0,0.6142045454545455
10,15,7,False,-0.41776937618147447,-0.40935887988209285,1,-0.40935887988209285
11,15,7,True,-0.5555555555555556,-0.03230769230769231,1,-0.03230769230769231
12,14,3,False,-0.27249789739276703,-0.34668192219679633,0,-0.27249789739276703
13,13,8,False,-0.5649546827794562,-0.3343443354148082,1,-0.3343443354148082
14,21,8,True,0.987410071942446,0.32608695652173914,0,0.987410071942446
15,20,3,True,0.6498388829215896,0.12195121951219512,0,0.6498388829215896
16,14,5,False,-0.16727420008100446,-0.33454545454545453,0,-0.16727420008100446
17,13,10,False,-0.6307471264367817,-0.4820931611843606,1,-0.4820931611843606
18,20,3,False,0.6504477107619531,-0.8679245283018868,0,0.6504477107619531
19,13,3,False,-0.2290909090909091,-0.3064660978895375,0,-0.2290909090909091
20,9,3,False,-inf,0.09072681704260652,1,0.09072681704260652
21,21,1,True,0.668411214953271,-0.10606060606060606,0,0.668411214953271
22,14,10,False,-0.5613919894944189,-0.5126283774849032,1,-0.5126283774849032
23,12,8,False,-0.47586206896551725,-0.279815668202765,1,-0.279815668202765
24,9,8,False,-inf,0.048254620123203286,1,0.048254620123203286
25,21,10,True,0.9189263719091828,-0.031825795644891124,0,0.9189263719091828
26,20,9,False,0.7572499646343188,-0.8666666666666667,0,0.7572499646343188
27,20,7,False,0.7789544235924933,-0.84251968503937,0,0.7789544235924933
28,16,10,False,-0.574750830564784,-0.5892268230120924,0,-0.574750830564784
29,15,10,False,-0.5649672366949017,-0.5626728860443673,1,-0.5626728860443673
30,12,4,False,-0.19984802431610943,-0.2793103448275862,0,-0.19984802431610943
31,17,8,False,-0.3903760880275907,-0.4757834757834758,0,-0.3903760880275907
32,15,8,False,-0.49872773536895676,-0.4141580003648969,1,-0.4141580003648969
33,17,8,True,-0.30985915492957744,-0.09987357774968394,1,-0.09987357774968394
34,18,1,False,-0.36166210670314636,-0.7716049382716049,0,-0.36166210670314636
35,12,1,False,-0.784366576819407,-0.5206069689022106,1,-0.5206069689022106
36,19,3,True,0.42290748898678415,0.06666666666666667,0,0.42290748898678415
37,15,3,True,-0.17073170731707318,0.013975155279503106,1,0.013975155279503106
38,20,5,False,0.6662418062636563,-0.875,0,0.6662418062636563
39,20,1,False,0.16073586679199678,-0.8680738786279684,0,0.16073586679199678
40,21,1,False,0.6308679500168862,-1.0,0,0.6308679500168862
41,11,1,False,-inf,-0.17878680383114579,1,-0.17878680383114579
42,17,6,False,0.03649299977048428,-0.5443037974683544,0,0.03649299977048428
43,9,7,False,-inf,0.1278038601982264,1,0.1278038601982264
44,15,3,False,-0.2619896948077685,-0.5365853658536586,0,-0.2619896948077685
45,10,3,False,-inf,0.12918254976704785,1,0.12918254976704785
46,19,10,False,-0.01898162097017174,-0.7491039426523297,0,-0.01898162097017174
47,20,2,False,0.6453342867357883,-0.8360128617363344,0,0.6453342867357883
48,13,6,False,-0.17386138613861385,-0.29972375690607733,0,-0.17386138613861385
49,21,6,True,0.983753046303818,0.32941176470588235,0,0.983753046303818
50,15,1,False,-0.7395833333333334,-0.6229223038268265,1,-0.6229223038268265
51,17,10,False,-0.4605755581365337,-0.6261448792672772,0,-0.4605755581365337
52,7,10,False,-inf,-0.3853211009174312,1,-0.3853211009174312
53,10,10,False,-inf,-0.07640262308733216,1,-0.07640262308733216
54,14,4,False,-0.21861032100772043,-0.29559748427672955,0,-0.21861032100772043
55,17,7,False,-0.08289386947923533,-0.5440251572327044,0,-0.08289386947923533
56,14,7,False,-0.44370860927152317,-0.3449920508744038,1,-0.3449920508744038
57,9,10,False,-inf,-0.248402760030667,1,-0.248402760030667
58,18,1,True,-0.4172661870503597,-0.35337423312883437,1,-0.35337423312883437
59,16,7,False,-0.46322067594433397,-0.41950113378684806,1,-0.41950113378684806
60,21,10,False,0.8933789532088035,-1.0,0,0.8933789532088035
61,11,10,False,-inf,0.012448132780082987,1,0.012448132780082987
62,8,10,False,-inf,-0.3317602642756017,1,-0.3317602642756017
63,19,6,False,0.5045995670995671,-0.828125,0,0.5045995670995671
64,18,6,False,0.2688436042229315,-0.5454545454545454,0,0.2688436042229315
65,16,2,False,-0.26643140714600794,-0.6046511627906976,0,-0.26643140714600794
66,9,2,False,-inf,0.04534130543099153,1,0.04534130543099153
67,21,5,True,0.9856549641374104,0.37662337662337664,0,0.9856549641374104
68,20,2,True,0.6594059405940594,0.0847457627118644,0,0.6594059405940594
69,20,4,False,0.6707026233718584,-0.9113924050632911,0,0.6707026233718584
70,10,4,False,-inf,0.19661733615221988,1,0.19661733615221988
71,14,9,False,-0.5742518351214003,-0.45175332527206774,1,-0.45175332527206774
72,10,9,False,-inf,0.06590136054421769,1,0.06590136054421769
73,15,9,False,-0.5446685878962536,-0.4774693583273252,1,-0.4774693583273252
74,18,4,True,0.18009478672985782,0.05555555555555555,0,0.18009478672985782
75,8,9,False,-inf,-0.2338917525773196,1,-0.2338917525773196
76,12,2,False,-0.2948568768908541,-0.32272390821613617,0,-0.2948568768908541
77,7,2,False,-inf,-0.16245791245791247,1,-0.16245791245791247
78,19,3,False,0.3976854287217254,-0.7008928571428571,0,0.3976854287217254
79,12,3,False,-0.22929762230117517,-0.26212121212121214,0,-0.22929762230117517
80,13,1,False,-0.7824561403508772,-0.5660753077480087,1,-0.5660753077480087
81,12,6,False,-0.2375366568914956,-0.20704845814977973,1,-0.20704845814977973
82,16,8,False,-0.6045845272206304,-0.4944765045342127,1,-0.4944765045342127
83,13,9,False,-0.49171270718232046,-0.42328237244428074,1,-0.42328237244428074
84,16,3,False,-0.25873544093178036,-0.48986486486486486,0,-0.25873544093178036
85,8,3,False,-inf,-0.0043586550435865505,1,-0.0043586550435865505
86,14,10,True,-0.6764705882352942,-0.21143562320032908,1,-0.21143562320032908
87,7,7,False,-inf,-0.11328125,1,-0.11328125
88,15,4,False,-0.21931942919868277,-0.3360323886639676,0,-0.21931942919868277
89,13,5,False,-0.16122689736531656,-0.24555160142348753,0,-0.16122689736531656
90,17,4,False,-0.1066631551224651,-0.6388888888888888,0,-0.1066631551224651
91,18,10,True,-0.23333333333333334,-0.21744627054361568,1,-0.21744627054361568
92,17,1,True,-0.6,-0.3431786216596343,1,-0.3431786216596343
93,19,7,True,0.6205533596837944,0.12,0,0.6205533596837944
94,17,7,True,-0.14814814814814814,0.015795868772782502,1,0.015795868772782502
